[pid 13235] prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe8c95000, 0xff000, 0xffffffffede95d50)                          = 0
[pid 13235] munmap(0xffffffffe8c95000, 438272)                                                                          = 0
[pid 13235] munmap(0xffffffffe8d80000, 81920)                                                                           = 0
openat(AT_FDCWD, "/property_contexts", O_RDONLY|O_LARGEFILE|O_CLOEXEC)                                                  = -1 ENOENT (No such file or directory)
faccessat(AT_FDCWD, "/system/etc/selinux/plat_property_contexts", R_OK)                                                 = -1 ENOENT (No such file or directory)
openat(AT_FDCWD, "/plat_property_contexts", O_RDONLY|O_LARGEFILE|O_CLOEXEC)                                             = 3</plat_property_contexts>
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe78c2000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe78c2000, 0x1000, 0xffffffffe7930aec)                                       = 0
fstat64(3</plat_property_contexts>, {st_mode=S_IFREG|0644, st_size=4341, ...})                                          = 0
mmap2(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe78c0000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe78c0000, 0x2000, 0xffffffffe7930aec)                                       = 0
read(3</plat_property_contexts>, "bluetooth.              u:object_r:bluetooth_prop:s0\nconfig.                 u:object_r:config_prop:s0\nctl.bootanim            u:object_r:ctl_bootanim_prop:s0\nctl.bugreport           u:object_r:ctl_bugreport_prop:s0\nctl.console             u:object_r:ctl_console_prop:s0\nctl.dumpstate           u:object_r:ctl_dumpstate_prop:s0\nctl.fuse_               u:object_r:ctl_fuse_prop:s0\nctl.mdnsd               u:object_r:ctl_mdnsd_prop:s0\nctl.ril-daemon          u:object_r:ctl_rildaemon_prop:s0\nctl.                    u:object_r:ctl_default_prop:s0\ndalvik.                 u:object_r:dalvik_prop:s0\ndebug.db.               u:object_r:debuggerd_prop:s0\ndebug.                  u:object_r:debug_prop:s0\ndev.                    u:object_r:system_prop:s0\ndhcp.bt-pan.result      u:object_r:pan_result_prop:s0\ndhcp.                   u:object_r:dhcp_prop:s0\ndumpstate.options       u:object_r:dumpstate_options_prop:s0\ndumpstate.              u:object_r:dumpstate_prop:s0\ngsm.                    u:object_r:radio_prop:s0\nhwservicemanager.       u:object_r:hwservicemanager_prop:s0\nhw.                     u:object_r:system_prop:s0\nlogd.logpersistd        u:object_r:logpersistd_logging_prop:s0\nlog.tag                 u:object_r:log_tag_prop:s0\nlog.tag.WifiHAL         u:object_r:wifi_log_prop:s0\nlog.                    u:object_r:log_prop:s0\nnet.cdma                u:object_r:net_radio_prop:s0\nnet.dns                 u:object_r:net_dns_prop:s0\nnet.gprs                u:object_r:net_radio_prop:s0\nnet.lte                 u:object_r:net_radio_prop:s0\nnet.ppp                 u:object_r:net_radio_prop:s0\nnet.qmi                 u:object_r:net_radio_prop:s0\nnet.rmnet               u:object_r:net_radio_prop:s0\nnet.                    u:object_r:system_prop:s0\nnfc.                    u:object_r:nfc_prop:s0\npersist.audio.          u:object_r:audio_prop:s0\npersist.bluetooth.      u:object_r:bluetooth_prop:s0\npersist.debug.          u:object_r:persist_debug_prop:s0\npersist.logd.logpersistd        u:object_r:logpersistd_logging_prop:s0\npersist.logd.security   u:object_r:device_logging_prop:s0\npersist.logd.           u:object_r:logd_prop:s0\npersist.log.tag         u:object_r:log_tag_prop:s0\npersist.mmc.            u:object_r:mmc_prop:s0\npersist.netd.stable_secret      u:object_r:netd_stable_secret_prop:s0\npersist.radio           u:object_r:radio_prop:s0\npersist.security.       u:object_r:system_prop:s0\npersist.service.bdroid. u:object_r:bluetooth_prop:s0\npersist.service.        u:object_r:system_prop:s0\npersist.sys.audit_safemode      u:object_r:safemode_prop:s0\npersist.sys.safemode    u:object_r:safemode_prop:s0\npersist.sys.            u:object_r:system_prop:s0\npersist.vendor.overlay.  u:object_r:overlay_prop:s0\nril.                    u:object_r:radio_prop:s0\nro.boot.btmacaddr       u:object_r:bluetooth_prop:s0\nro.boot.serialno        u:object_r:serialno_prop:s0\nro.boottime.             u:object_r:boottime_prop:s0\nro.boot.vendor.overlay.  u:object_r:overlay_prop:s0\nro.bt.                  u:object_r:bluetooth_prop:s0\nro.build.fingerprint    u:object_r:fingerprint_prop:s0\nro.config.              u:object_r:config_prop:s0\nro.crypto.              u:object_r:vold_prop:s0\nro.dalvik.              u:object_r:dalvik_prop:s0\nro.device_owner         u:object_r:device_logging_prop:s0\nro.hw.                  u:object_r:system_prop:s0\nro.persistent_properties.ready  u:object_r:persistent_properties_ready_prop:s0\nro.ril.                 u:object_r:radio_prop:s0\nro.runtime.firstboot    u:object_r:firstboot_prop:s0\nro.runtime.             u:object_r:system_prop:s0\nro.serialno             u:object_r:serialno_prop:s0\nro.sys.safemode         u:object_r:safemode_prop:s0\nsecurity.perf_harden    u:object_r:shell_prop:s0\nselinux.restorecon_recursive   u:object_r:restorecon_prop:s0\nservice.adb.root        u:object_r:shell_prop:s0\nservice.adb.tcp.port    u:object_r:shell_prop:s0\nservice.                u:object_r:system_prop:s0\nsys.cppreopt            u:object_r:cppreopt_prop:s0\nsys.powerctl            u:object_r:powerctl_prop:s0\nsys.                    u:object_r:system_prop:s0\nsys.u", 4096) = 4096
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe78bf000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe78bf000, 0x1000, 0xffffffffe7930668)                                       = 0
mmap2(NULL, 12, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                  = 0xe78be000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe78be000, 0xc, 0xffffffffe7930e4c)                                          = 0
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe78bd000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe78bd000, 0x1000, 0xffffffffe7930668)                                       = 0
mmap2(NULL, 12, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                  = 0xe78bc000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe78bc000, 0xc, 0xffffffffe7930e4c)                                          = 0
munmap(0xffffffffe78bd000, 4096)                                                                                        = 0
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe78bd000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe78bd000, 0x1000, 0xffffffffe7930668)                                       = 0
munmap(0xffffffffe78bd000, 4096)                                                                                        = 0
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe78bd000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe78bd000, 0x1000, 0xffffffffe7930668)                                       = 0
munmap(0xffffffffe78bd000, 4096)                                                                                        = 0
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe78bd000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe78bd000, 0x1000, 0xffffffffe7930668)                                       = 0
read(3</plat_property_contexts>, "sb.config          u:object_r:system_radio_prop:s0\nsys.usb.ffs.            u:object_r:ffs_prop:s0\n*                       u:object_r:default_prop:s0\nvold.                   u:object_r:vold_prop:s0\nwlan.                   u:object_r:wifi_prop:s0\n", 4096) = 245
read(3</plat_property_contexts>, "", 4096)                                                                              = 0
munmap(0xffffffffe78bf000, 4096)                                                                                        = 0
close(3</plat_property_contexts>)                                                                                       = 0
munmap(0xffffffffe78c0000, 8192)                                                                                        = 0
openat(AT_FDCWD, "/nonplat_property_contexts", O_RDONLY|O_LARGEFILE|O_CLOEXEC)                                          = 3</nonplat_property_contexts>
fstat64(3</nonplat_property_contexts>, {st_mode=S_IFREG|0644, st_size=0, ...})                                          = 0
mmap2(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe78c0000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe78c0000, 0x2000, 0xffffffffe7930aec)                                       = 0
read(3</nonplat_property_contexts>, "", 4096)                                                                           = 0
close(3</nonplat_property_contexts>)                                                                                    = 0
munmap(0xffffffffe78c0000, 8192)                                                                                        = 0
openat(AT_FDCWD, "/dev/__properties__/properties_serial", O_RDONLY|O_LARGEFILE|O_NOFOLLOW|O_CLOEXEC)                    = 3</dev/__properties__/properties_serial>
fstat64(3</dev/__properties__/properties_serial>, {st_mode=S_IFREG|0444, st_size=131072, ...})                          = 0
mmap2(NULL, 131072, PROT_READ, MAP_SHARED, 3</dev/__properties__/properties_serial>, 0)                                 = 0xe789c000
close(3</dev/__properties__/properties_serial>)                                                                         = 0
mmap2(NULL, 12288, PROT_NONE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0)                                                         = 0xe78bf000
mprotect(0xffffffffe78c0000, 4096, PROT_READ|PROT_WRITE)                                                                = 0
sigaction(SIGABRT, {0xe78ec2c9, [HUP INT QUIT ILL TRAP ABRT BUS FPE KILL USR1 SEGV USR2 PIPE ALRM TERM STKFLT CHLD CONT STOP TSTP TTIN TTOU URG XCPU XFSZ VTALRM PROF WINCH IO PWR SYS RTMIN], SA_RESTORER|SA_RESTART|SA_SIGINFO|SA_ONSTACK, 0xe7942454}, NULL) = 0
sigaction(SIGBUS, {0xe78ec2c9, [HUP INT QUIT ILL TRAP ABRT BUS FPE KILL USR1 SEGV USR2 PIPE ALRM TERM STKFLT CHLD CONT STOP TSTP TTIN TTOU URG XCPU XFSZ VTALRM PROF WINCH IO PWR SYS RTMIN], SA_RESTORER|SA_RESTART|SA_SIGINFO|SA_ONSTACK, 0xe7942454}, NULL) = 0
sigaction(SIGFPE, {0xe78ec2c9, [HUP INT QUIT ILL TRAP ABRT BUS FPE KILL USR1 SEGV USR2 PIPE ALRM TERM STKFLT CHLD CONT STOP TSTP TTIN TTOU URG XCPU XFSZ VTALRM PROF WINCH IO PWR SYS RTMIN], SA_RESTORER|SA_RESTART|SA_SIGINFO|SA_ONSTACK, 0xe7942454}, NULL) = 0
sigaction(SIGILL, {0xe78ec2c9, [HUP INT QUIT ILL TRAP ABRT BUS FPE KILL USR1 SEGV USR2 PIPE ALRM TERM STKFLT CHLD CONT STOP TSTP TTIN TTOU URG XCPU XFSZ VTALRM PROF WINCH IO PWR SYS RTMIN], SA_RESTORER|SA_RESTART|SA_SIGINFO|SA_ONSTACK, 0xe7942454}, NULL) = 0
sigaction(SIGSEGV, {0xe78ec2c9, [HUP INT QUIT ILL TRAP ABRT BUS FPE KILL USR1 SEGV USR2 PIPE ALRM TERM STKFLT CHLD CONT STOP TSTP TTIN TTOU URG XCPU XFSZ VTALRM PROF WINCH IO PWR SYS RTMIN], SA_RESTORER|SA_RESTART|SA_SIGINFO|SA_ONSTACK, 0xe7942454}, NULL) = 0
sigaction(SIGSTKFLT, {0xe78ec2c9, [HUP INT QUIT ILL TRAP ABRT BUS FPE KILL USR1 SEGV USR2 PIPE ALRM TERM STKFLT CHLD CONT STOP TSTP TTIN TTOU URG XCPU XFSZ VTALRM PROF WINCH IO PWR SYS RTMIN], SA_RESTORER|SA_RESTART|SA_SIGINFO|SA_ONSTACK, 0xe7942454}, NULL) = 0
sigaction(SIGSYS, {0xe78ec2c9, [HUP INT QUIT ILL TRAP ABRT BUS FPE KILL USR1 SEGV USR2 PIPE ALRM TERM STKFLT CHLD CONT STOP TSTP TTIN TTOU URG XCPU XFSZ VTALRM PROF WINCH IO PWR SYS RTMIN], SA_RESTORER|SA_RESTART|SA_SIGINFO|SA_ONSTACK, 0xe7942454}, NULL) = 0
sigaction(SIGTRAP, {0xe78ec2c9, [HUP INT QUIT ILL TRAP ABRT BUS FPE KILL USR1 SEGV USR2 PIPE ALRM TERM STKFLT CHLD CONT STOP TSTP TTIN TTOU URG XCPU XFSZ VTALRM PROF WINCH IO PWR SYS RTMIN], SA_RESTORER|SA_RESTART|SA_SIGINFO|SA_ONSTACK, 0xe7942454}, NULL) = 0
sigaction(SIGRT_3, {0xe78ec2c9, [HUP INT QUIT ILL TRAP ABRT BUS FPE KILL USR1 SEGV USR2 PIPE ALRM TERM STKFLT CHLD CONT STOP TSTP TTIN TTOU URG XCPU XFSZ VTALRM PROF WINCH IO PWR SYS RTMIN], SA_RESTORER|SA_RESTART|SA_SIGINFO|SA_ONSTACK, 0xe7942454}, NULL) = 0
prctl(PR_GET_DUMPABLE)                                                                                                  = 1
futex(0xffffffffe79a60fc, FUTEX_WAKE_PRIVATE, 2147483647)                                                               = 0
openat(AT_FDCWD, "/dev/__properties__/u:object_r:debug_prop:s0", O_RDONLY|O_LARGEFILE|O_NOFOLLOW|O_CLOEXEC)             = 3</dev/__properties__/u:object_r:debug_prop:s0>
fstat64(3</dev/__properties__/u:object_r:debug_prop:s0>, {st_mode=S_IFREG|0444, st_size=131072, ...})                   = 0
mmap2(NULL, 131072, PROT_READ, MAP_SHARED, 3</dev/__properties__/u:object_r:debug_prop:s0>, 0)                          = 0xe787c000
close(3</dev/__properties__/u:object_r:debug_prop:s0>)                                                                  = 0
futex(0xffffffffe79a60fc, FUTEX_WAKE_PRIVATE, 2147483647)                                                               = 0
fstatat64(AT_FDCWD, "/proc/self/exe", {st_mode=S_IFREG|0755, st_size=16240, ...}, 0)                                    = 0
mprotect(0xffffffffe78c8000, 4096, PROT_READ|PROT_WRITE)                                                                = 0
mprotect(0xffffffffe78c8000, 4096, PROT_READ)                                                                           = 0
futex(0xffffffffe79a60fc, FUTEX_WAKE_PRIVATE, 2147483647)                                                               = 0
readlinkat(AT_FDCWD, "/proc/self/exe", "/system/bin/cameraserver", 4096)                                                = 24
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe787b000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe787b000, 0x1000, 0xffffffffe78df60c)                                       = 0
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe787a000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe787a000, 0x1000, 0xffffffffe7930668)                                       = 0
munmap(0xffffffffe787a000, 4096)                                                                                        = 0
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe787a000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe787a000, 0x1000, 0xffffffffe78df60c)                                       = 0
openat(AT_FDCWD, "/system/etc/ld.config.txt", O_RDONLY|O_LARGEFILE|O_NOFOLLOW|O_CLOEXEC)                                = 3</system/etc/ld.config.txt>
fstat64(3</system/etc/ld.config.txt>, {st_mode=S_IFREG|0644, st_size=550, ...})                                         = 0
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe7879000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe7879000, 0x1000, 0xffffffffe7930668)                                       = 0
mmap2(NULL, 12, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                  = 0xe7878000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe7878000, 0xc, 0xffffffffe7930e4c)                                          = 0
read(3</system/etc/ld.config.txt>, "# Copyright (C) 2017 The Android Open Source Project\n#\n# Bionic loader config file.\n# This gives the exactly the same namespace setup in pre-O.\n#\n\n# All binaries gets the same configuration 'legacy'\ndir.legacy = /system\ndir.legacy = /vendor\ndir.legacy = /odm\ndir.legacy = /sbin\n\n[legacy]\nnamespace.default.isolated = false\nnamespace.default.search.paths = /odm/${LIB}:/system/${LIB}:/vendor/${LIB}\nnamespace.default.asan.search.paths = /data/asan/odm/${LIB}:/odm/${LIB}:/data/asan/system/${LIB}:/system/${LIB}:/data/asan/vendor/${LIB}:/vendor/${LIB}\n", 1024) = 550
read(3</system/etc/ld.config.txt>, "", 1024)                                                                            = 0
close(3</system/etc/ld.config.txt>)                                                                                     = 0
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe7877000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe7877000, 0x1000, 0xffffffffe7930668)                                       = 0
munmap(0xffffffffe7877000, 4096)                                                                                        = 0
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe7877000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe7877000, 0x1000, 0xffffffffe7930668)                                       = 0
mmap2(NULL, 12, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                  = 0xe7876000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe7876000, 0xc, 0xffffffffe7930e4c)                                          = 0
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe7875000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe7875000, 0x1000, 0xffffffffe7930668)                                       = 0
munmap(0xffffffffe7877000, 4096)                                                                                        = 0
munmap(0xffffffffe7879000, 4096)                                                                                        = 0
fstatat64(AT_FDCWD, "/odm", 0xffffffffffa6c320, AT_SYMLINK_NOFOLLOW)                                                    = -1 ENOENT (No such file or directory)
fstatat64(AT_FDCWD, "/system", {st_mode=S_IFDIR|0755, st_size=4096, ...}, AT_SYMLINK_NOFOLLOW)                          = 0
fstatat64(AT_FDCWD, "/system/lib", {st_mode=S_IFDIR|0755, st_size=12288, ...}, AT_SYMLINK_NOFOLLOW)                     = 0
fstatat64(AT_FDCWD, "/system/lib", {st_mode=S_IFDIR|0755, st_size=12288, ...}, 0)                                       = 0
fstatat64(AT_FDCWD, "/vendor", {st_mode=S_IFLNK|0777, st_size=14, ...}, AT_SYMLINK_NOFOLLOW)                            = 0
readlinkat(AT_FDCWD, "/vendor", "/system/vendor", 4095)                                                                 = 14
fstatat64(AT_FDCWD, "/system", {st_mode=S_IFDIR|0755, st_size=4096, ...}, AT_SYMLINK_NOFOLLOW)                          = 0
fstatat64(AT_FDCWD, "/system/vendor", {st_mode=S_IFDIR|0755, st_size=4096, ...}, AT_SYMLINK_NOFOLLOW)                   = 0
fstatat64(AT_FDCWD, "/system/vendor/lib", {st_mode=S_IFDIR|0755, st_size=16384, ...}, AT_SYMLINK_NOFOLLOW)              = 0
fstatat64(AT_FDCWD, "/system/vendor/lib", {st_mode=S_IFDIR|0755, st_size=16384, ...}, 0)                                = 0
munmap(0xffffffffe7875000, 4096)                                                                                        = 0
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe7879000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe7879000, 0x1000, 0xffffffffe78df60c)                                       = 0
openat(AT_FDCWD, "/system/lib/libcameraservice.so", O_RDONLY|O_LARGEFILE|O_CLOEXEC)                                     = 3</system/lib/libcameraservice.so>
mmap2(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe7874000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe7874000, 0x2000, 0xffffffffe7930aec)                                       = 0
mmap2(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe7872000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe7872000, 0x2000, 0xffffffffe7930aec)                                       = 0
readlinkat(AT_FDCWD, "/proc/self/fd/3", "/system/lib/libcameraservice.so", 4096)                                        = 31
munmap(0xffffffffe7872000, 8192)                                                                                        = 0
munmap(0xffffffffe7874000, 8192)                                                                                        = 0
fstat64(3</system/lib/libcameraservice.so>, {st_mode=S_IFREG|0644, st_size=946540, ...})                                = 0
fstatfs64(3</system/lib/libcameraservice.so>, 88, {f_type="EXT2_SUPER_MAGIC", f_bsize=4096, f_blocks=1026632, f_bfree=732564, f_bavail=728468, f_files=265056, f_ffree=261480, f_fsid={-1937597345, 647479277}, f_namelen=255, f_frsize=4096, f_flags=4096}) = 0
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe7877000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe7877000, 0x1000, 0xffffffffe7930668)                                       = 0
pread64(3</system/lib/libcameraservice.so>, "\177ELF\1\1\1\0\0\0\0\0\0\0\0\0\3\0(\0\1\0\0\0\0\0\0\0004\0\0\0004m\16\0\0\2\0\0054\0 \0\10\0(\0\33\0\32\0", 52, 0) = 52
mmap2(NULL, 360, PROT_READ, MAP_PRIVATE, 3</system/lib/libcameraservice.so>, 0)                                         = 0xe7875000
mmap2(NULL, 7840, PROT_READ, MAP_PRIVATE, 3</system/lib/libcameraservice.so>, 0xe6000)                                  = 0xe7873000
mmap2(NULL, 856, PROT_READ, MAP_PRIVATE, 3</system/lib/libcameraservice.so>, 0xde000)                                   = 0xe7872000
mmap2(NULL, 256117, PROT_READ, MAP_PRIVATE, 3</system/lib/libcameraservice.so>, 0xd000)                                 = 0xe7833000
mprotect(0xffffffffe78c8000, 4096, PROT_READ|PROT_WRITE)                                                                = 0
mprotect(0xffffffffe78c8000, 4096, PROT_READ)                                                                           = 0
futex(0xffffffffe79a60fc, FUTEX_WAKE_PRIVATE, 2147483647)                                                               = 0
readlinkat(AT_FDCWD, "/proc/self/exe", "/system/bin/cameraserver", 4096)                                                = 24
mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe7832000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe7832000, 0x1000, 0xffffffffe7930668)                                       = 0
munmap(0xffffffffe7832000, 4096)                                                                                        = 0
openat(AT_FDCWD, "/system/lib/liblog.so", O_RDONLY|O_LARGEFILE|O_CLOEXEC)                                               = 4</system/lib/liblog.so>
mmap2(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe7831000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe7831000, 0x2000, 0xffffffffe7930aec)                                       = 0
mmap2(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe782f000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe782f000, 0x2000, 0xffffffffe7930aec)                                       = 0
readlinkat(AT_FDCWD, "/proc/self/fd/4", "/system/lib/liblog.so", 4096)                                                  = 21
munmap(0xffffffffe782f000, 8192)                                                                                        = 0
munmap(0xffffffffe7831000, 8192)                                                                                        = 0
fstat64(4</system/lib/liblog.so>, {st_mode=S_IFREG|0644, st_size=81508, ...})                                           = 0
fstatfs64(4</system/lib/liblog.so>, 88, {f_type="EXT2_SUPER_MAGIC", f_bsize=4096, f_blocks=1026632, f_bfree=732564, f_bavail=728468, f_files=265056, f_ffree=261480, f_fsid={-1937597345, 647479277}, f_namelen=255, f_frsize=4096, f_flags=4096}) = 0
pread64(4</system/lib/liblog.so>, "\177ELF\1\1\1\0\0\0\0\0\0\0\0\0\3\0(\0\1\0\0\0\0\0\0\0004\0\0\0,:\1\0\0\2\0\0054\0 \0\10\0(\0\33\0\32\0", 52, 0) = 52
mmap2(NULL, 360, PROT_READ, MAP_PRIVATE, 4</system/lib/liblog.so>, 0)                                                   = 0xe7832000
mmap2(NULL, 6288, PROT_READ, MAP_PRIVATE, 4</system/lib/liblog.so>, 0x13000)                                            = 0xe7830000
mmap2(NULL, 6400, PROT_READ, MAP_PRIVATE, 4</system/lib/liblog.so>, 0x11000)                                            = 0xe782e000
mmap2(NULL, 5620, PROT_READ, MAP_PRIVATE, 4</system/lib/liblog.so>, 0x1000)                                             = 0xe782c000
openat(AT_FDCWD, "/system/lib/libutils.so", O_RDONLY|O_LARGEFILE|O_CLOEXEC)                                             = 5</system/lib/libutils.so>
mmap2(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe782a000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe782a000, 0x2000, 0xffffffffe7930aec)                                       = 0
mmap2(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe7828000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe7828000, 0x2000, 0xffffffffe7930aec)                                       = 0
readlinkat(AT_FDCWD, "/proc/self/fd/5", "/system/lib/libutils.so", 4096)                                                = 23
munmap(0xffffffffe7828000, 8192)                                                                                        = 0
munmap(0xffffffffe782a000, 8192)                                                                                        = 0
fstat64(5</system/lib/libutils.so>, {st_mode=S_IFREG|0644, st_size=97000, ...})                                         = 0
fstatfs64(5</system/lib/libutils.so>, 88, {f_type="EXT2_SUPER_MAGIC", f_bsize=4096, f_blocks=1026632, f_bfree=732564, f_bavail=728468, f_files=265056, f_ffree=261480, f_fsid={-1937597345, 647479277}, f_namelen=255, f_frsize=4096, f_flags=4096}) = 0
pread64(5</system/lib/libutils.so>, "\177ELF\1\1\1\0\0\0\0\0\0\0\0\0\3\0(\0\1\0\0\0\0\0\0\0004\0\0\0\260v\1\0\0\2\0\0054\0 \0\10\0(\0\33\0\32\0", 52, 0) = 52
mmap2(NULL, 360, PROT_READ, MAP_PRIVATE, 5</system/lib/libutils.so>, 0)                                                 = 0xe782b000
mmap2(NULL, 4504, PROT_READ, MAP_PRIVATE, 5</system/lib/libutils.so>, 0x17000)                                          = 0xe7829000
mmap2(NULL, 6912, PROT_READ, MAP_PRIVATE, 5</system/lib/libutils.so>, 0x15000)                                          = 0xe7827000
mmap2(NULL, 23611, PROT_READ, MAP_PRIVATE, 5</system/lib/libutils.so>, 0x2000)                                          = 0xe7821000
openat(AT_FDCWD, "/system/lib/libui.so", O_RDONLY|O_LARGEFILE|O_CLOEXEC)                                                = 6</system/lib/libui.so>
mmap2(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe781f000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe781f000, 0x2000, 0xffffffffe7930aec)                                       = 0
mmap2(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, 0<socket:[67921]>, 0)                                = 0xe781d000
prctl(0x53564d41 /* PR_??? */, 0, 0xffffffffe781d000, 0x2000, 0xffffffffe7930aec)                                       = 0
readlinkat(AT_FDCWD, "/proc/self/fd/6", "/system/lib/libui.so", 4096)                                                   = 20
munmap(0xffffffffe781d000, 8192)                                                                                        = 0
munmap(0xffffffffe781f000, 8192)                                                                                        = 0
fstat64(6</system/lib/libui.so>, {st_mode=S_IFREG|0644, st_size=110116, ...})                                           = 0
